File Name,File Path,Size (bytes),Created,Modified,Extension,Title,Author,Company
test_win32inet.py,C:\_lib\data\_scripts_\py\_tut\projects\Sonarr\.venv\Lib\site-packages\win32\test\test_win32inet.py,3119,Fri Feb  7 04:05:25 2025,Fri Feb  7 04:05:25 2025,.py,test_win32inet.py,3.04 KB,Python Source File
test_win32net.py,C:\_lib\data\_scripts_\py\_tut\projects\Sonarr\.venv\Lib\site-packages\win32\test\test_win32net.py,678,Fri Feb  7 04:05:25 2025,Fri Feb  7 04:05:25 2025,.py,test_win32net.py,678 bytes,Python Source File
test_win32pipe.py,C:\_lib\data\_scripts_\py\_tut\projects\Sonarr\.venv\Lib\site-packages\win32\test\test_win32pipe.py,4945,Fri Feb  7 04:05:25 2025,Fri Feb  7 04:05:25 2025,.py,test_win32pipe.py,4.82 KB,Python Source File
test_win32print.py,C:\_lib\data\_scripts_\py\_tut\projects\Sonarr\.venv\Lib\site-packages\win32\test\test_win32print.py,705,Fri Feb  7 04:05:25 2025,Fri Feb  7 04:05:25 2025,.py,test_win32print.py,705 bytes,Python Source File
test_win32profile.py,C:\_lib\data\_scripts_\py\_tut\projects\Sonarr\.venv\Lib\site-packages\win32\test\test_win32profile.py,433,Fri Feb  7 04:05:25 2025,Fri Feb  7 04:05:25 2025,.py,test_win32profile.py,433 bytes,Python Source File
test_win32rcparser.py,C:\_lib\data\_scripts_\py\_tut\projects\Sonarr\.venv\Lib\site-packages\win32\test\test_win32rcparser.py,2533,Fri Feb  7 04:05:25 2025,Fri Feb  7 04:05:25 2025,.py,test_win32rcparser.py,2.47 KB,Python Source File
test_win32timezone.py,C:\_lib\data\_scripts_\py\_tut\projects\Sonarr\.venv\Lib\site-packages\win32\test\test_win32timezone.py,327,Fri Feb  7 04:05:25 2025,Fri Feb  7 04:05:25 2025,.py,test_win32timezone.py,327 bytes,Python Source File
test_win32trace.py,C:\_lib\data\_scripts_\py\_tut\projects\Sonarr\.venv\Lib\site-packages\win32\test\test_win32trace.py,11665,Fri Feb  7 04:05:25 2025,Fri Feb  7 04:05:25 2025,.py,test_win32trace.py,11.3 KB,Python Source File
test_win32wnet.py,C:\_lib\data\_scripts_\py\_tut\projects\Sonarr\.venv\Lib\site-packages\win32\test\test_win32wnet.py,5827,Fri Feb  7 04:05:25 2025,Fri Feb  7 04:05:25 2025,.py,test_win32wnet.py,5.69 KB,Python Source File
python.bmp,C:\_lib\data\_scripts_\py\_tut\projects\Sonarr\.venv\Lib\site-packages\win32\test\win32rcparser\python.bmp,778,Fri Feb  7 04:05:25 2025,Fri Feb  7 04:05:25 2025,.bmp,python.bmp,778 bytes,BMP File
python.ico,C:\_lib\data\_scripts_\py\_tut\projects\Sonarr\.venv\Lib\site-packages\win32\test\win32rcparser\python.ico,766,Fri Feb  7 04:05:25 2025,Fri Feb  7 04:05:25 2025,.ico,python.ico,766 bytes,ICO File
test.h,C:\_lib\data\_scripts_\py\_tut\projects\Sonarr\.venv\Lib\site-packages\win32\test\win32rcparser\test.h,1215,Fri Feb  7 04:05:25 2025,Fri Feb  7 04:05:25 2025,.h,test.h,1.18 KB,C Header Source File
test.rc,C:\_lib\data\_scripts_\py\_tut\projects\Sonarr\.venv\Lib\site-packages\win32\test\win32rcparser\test.rc,6474,Fri Feb  7 04:05:25 2025,Fri Feb  7 04:05:25 2025,.rc,test.rc,6.32 KB,RC File
handles.cpython-312.pyc,C:\_lib\data\_scripts_\py\_tut\projects\Sonarr\.venv\Lib\site-packages\win32\test\__pycache__\handles.cpython-312.pyc,7555,Fri Feb  7 04:05:26 2025,Fri Feb  7 04:05:26 2025,.pyc,handles.cpython-312.pyc,7.37 KB,Compiled Python File
testall.cpython-312.pyc,C:\_lib\data\_scripts_\py\_tut\projects\Sonarr\.venv\Lib\site-packages\win32\test\__pycache__\testall.cpython-312.pyc,9092,Fri Feb  7 04:05:26 2025,Fri Feb  7 04:05:26 2025,.pyc,testall.cpython-312.pyc,8.87 KB,Compiled Python File
test_clipboard.cpython-312.pyc,C:\_lib\data\_scripts_\py\_tut\projects\Sonarr\.venv\Lib\site-packages\win32\test\__pycache__\test_clipboard.cpython-312.pyc,7583,Fri Feb  7 04:05:26 2025,Fri Feb  7 04:05:26 2025,.pyc,test_clipboard.cpython-312.pyc,7.40 KB,Compiled Python File
test_exceptions.cpython-312.pyc,C:\_lib\data\_scripts_\py\_tut\projects\Sonarr\.venv\Lib\site-packages\win32\test\__pycache__\test_exceptions.cpython-312.pyc,14956,Fri Feb  7 04:05:26 2025,Fri Feb  7 04:05:26 2025,.pyc,test_exceptions.cpython-312.pyc,14.6 KB,Compiled Python File
test_odbc.cpython-312.pyc,C:\_lib\data\_scripts_\py\_tut\projects\Sonarr\.venv\Lib\site-packages\win32\test\__pycache__\test_odbc.cpython-312.pyc,11921,Fri Feb  7 04:05:26 2025,Fri Feb  7 04:05:26 2025,.pyc,test_odbc.cpython-312.pyc,11.6 KB,Compiled Python File
test_pywintypes.cpython-312.pyc,C:\_lib\data\_scripts_\py\_tut\projects\Sonarr\.venv\Lib\site-packages\win32\test\__pycache__\test_pywintypes.cpython-312.pyc,6765,Fri Feb  7 04:05:26 2025,Fri Feb  7 04:05:26 2025,.pyc,test_pywintypes.cpython-312.pyc,6.60 KB,Compiled Python File
