collected_at,type,title,year,trakt_rating,trakt_id,imdb_id,tmdb_id,url,released,runtime,genres
2023-08-15T19:28:00Z,movie,All the President's Men,1976,7.89692,734,tt0074119,891,https://trakt.tv/movies/all-the-president-s-men-1976,1976-04-09,138,"drama,mystery,thriller"
2022-07-02T07:19:09Z,movie,Allegiant,2016,6.57388,161418,tt3410834,262504,https://trakt.tv/movies/allegiant-2016,2016-03-18,120,"science-fiction,adventure,action,mystery"
2023-07-07T12:13:06Z,movie,Allied,2016,7.30658,226556,tt3640424,369885,https://trakt.tv/movies/allied-2016,2016-11-23,124,"war,drama,romance,thriller,action"
2023-06-26T19:13:13Z,movie,Aloha,2015,6.06295,136908,tt1243974,222936,https://trakt.tv/movies/aloha-2015,2015-05-29,105,"comedy,romance,drama"
2023-05-12T16:14:33Z,movie,Alpha Dog,2006,7.01075,3917,tt0426883,7457,https://trakt.tv/movies/alpha-dog-2006,2006-01-27,122,"crime,drama,thriller"
2022-07-03T05:37:36Z,movie,Ambulance,2022,6.58869,601849,tt4998632,763285,https://trakt.tv/movies/ambulance-2022,2022-03-25,136,"thriller,action,crime"
2018-01-01T14:06:34Z,movie,American Assassin,2017,6.94711,260759,tt1961175,415842,https://trakt.tv/movies/american-assassin-2017,2017-09-15,112,"thriller,action,adventure"
2023-05-10T02:44:06Z,movie,American Beauty,1999,8.06155,10,tt0169547,14,https://trakt.tv/movies/american-beauty-1999,1999-09-15,122,drama
2023-05-10T20:25:18Z,movie,American Flyers,1985,7.03846,8388,tt0088707,14040,https://trakt.tv/movies/american-flyers-1985,1985-08-16,113,drama
2023-05-10T20:04:54Z,movie,American Gangster,2007,7.83607,2913,tt0765429,4982,https://trakt.tv/movies/american-gangster-2007,2007-11-02,157,"crime,drama"
2023-08-09T00:39:37Z,movie,American Hero,2015,5.82152,223830,tt4733536,367551,https://trakt.tv/movies/american-hero-2015,2015-12-11,86,"science-fiction,action,comedy"
2023-05-08T01:59:23Z,movie,American History X,1998,8.4535,43,tt0120586,73,https://trakt.tv/movies/american-history-x-1998,1998-10-30,119,drama
2023-07-30T07:05:07Z,movie,American Hustle,2013,7.0892,107776,tt1800241,168672,https://trakt.tv/movies/american-hustle-2013,2013-12-03,138,"crime,drama"
2023-05-08T03:24:10Z,movie,American Made,2017,7.33893,217731,tt3532216,337170,https://trakt.tv/movies/american-made-2017,2017-09-29,115,"crime,comedy,drama,action"
2022-07-03T05:37:58Z,movie,American Pie,1999,7.13119,1454,tt0163651,2105,https://trakt.tv/movies/american-pie-1999,1999-07-09,95,"comedy,romance"
2022-07-03T05:38:02Z,movie,American Pie 2,2001,6.66498,1851,tt0252866,2770,https://trakt.tv/movies/american-pie-2-2001,2001-08-10,108,"comedy,romance"
2022-07-03T05:38:12Z,movie,American Reunion,2012,6.7279,52492,tt1605630,71552,https://trakt.tv/movies/american-reunion-2012,2012-04-06,113,comedy
2023-08-10T18:15:46Z,movie,American Sicario,2021,5.64198,716575,tt13322120,893297,https://trakt.tv/movies/american-sicario-2021,2021-12-10,90,"crime,action"
2023-03-30T00:01:53Z,movie,American Sniper,2014,7.41646,119348,tt2179136,190859,https://trakt.tv/movies/american-sniper-2014,2014-12-25,133,"action,war"
2024-01-28T20:09:26Z,movie,American Star,2024,5.90717,943779,tt19984386,1170824,https://trakt.tv/movies/american-star-2024,2024-01-26,107,"thriller,mystery,drama"
2023-08-15T22:39:27Z,movie,American Traitor: The Trial of Axis Sally,2021,6.11111,560129,tt7050946,603603,https://trakt.tv/movies/american-traitor-the-trial-of-axis-sally-2021,2021-05-28,107,"drama,history"
2022-07-03T10:17:53Z,movie,American Ultra,2015,6.60951,160399,tt3316948,261392,https://trakt.tv/movies/american-ultra-2015,2015-08-21,96,"action,comedy"
2022-07-03T05:38:14Z,movie,American Wedding,2003,6.56039,4097,tt0328828,8273,https://trakt.tv/movies/american-wedding-2003,2003-08-01,103,"comedy,romance"
2023-09-24T19:07:03Z,movie,Amistad,1997,7.34313,6855,tt0118607,11831,https://trakt.tv/movies/amistad-1997,1997-12-10,155,"drama,history,mystery"
2023-08-07T21:44:20Z,movie,Amos & Andrew,1993,5.79111,19758,tt0106266,31000,https://trakt.tv/movies/amos-andrew-1993,1993-03-05,96,"action,comedy"
